time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/iterations,train/entropy_loss,train/value_loss,train/clip_range,train/explained_variance,train/policy_gradient_loss,train/loss,train/n_updates,train/learning_rate,train/clip_fraction,train/approx_kl
8192,0,9.0,23835,101.0,1,,,,,,,,,,
16384,1,9.0,9193,101.0,2,-0.6864701942075044,0.06479057443684724,0.2,0.21741056442260742,-0.00011663052755466197,0.00401898380368948,10,0.0003,0.00677490234375,0.00550111
24576,3,9.0,7710,101.0,3,-0.6876381554640829,0.009095848046945321,0.2,0.8491081744432449,-0.0023835124975448707,-0.03197929635643959,20,0.0003,0.07762451171875,0.008504953
32768,4,9.0,7116,101.0,4,-0.6622367328498513,0.004253230224412619,0.2,0.9537992067635059,-0.0009356178237794665,-0.009224395267665386,30,0.0003,0.0358642578125,0.009860319
40960,6,9.0,6814,101.0,5,-0.6369845085311681,0.0030381675859416646,0.2,0.9853838942945004,-0.0005589503634837456,0.0030889573972672224,40,0.0003,0.0123291015625,0.008633525
49152,7,9.0,6618,101.0,6,-0.6615701536647975,0.0008388554654857217,0.2,0.9958140053786337,-0.0033286943635175703,0.036178167909383774,50,0.0003,0.18323974609375,0.014552434
57344,8,9.0,6482,101.0,7,-0.6814143722411246,0.0014826118616610984,0.2,0.9985989342676476,-0.0035393594531342386,-0.0058171097189188,60,0.0003,0.04320068359375,0.0098023955
65536,10,9.0,6379,101.0,8,-0.6779061062727123,0.0018829216622179956,0.2,0.9993268784601241,-0.007369575458869804,0.02527770958840847,70,0.0003,0.0784912109375,0.014237657
73728,11,9.0,6293,101.0,9,-0.6513997563626617,0.002489941810972596,0.2,0.9992589439498261,-0.01339760015362117,0.013467260636389256,80,0.0003,0.13956298828125,0.0152457785
81920,13,9.0,6222,101.0,10,-0.6058524653781205,0.0034828022546207647,0.2,0.998994157765992,-0.01257347484715865,-0.025811975821852684,90,0.0003,0.1731201171875,0.012872645
90112,14,8.8,6172,98.91,11,-0.558083986165002,0.008397551814778127,0.2,0.997420939616859,-0.008490367088961647,-0.02277090772986412,100,0.0003,0.12410888671875,0.009979686
98304,16,8.985,6140,100.76,12,-0.4963391595054418,0.12482444930283236,0.2,0.9604512266814709,-0.003796355288250197,0.09288595616817474,110,0.0003,0.08477783203125,0.012230901
106496,17,9.001,6110,101.01,13,-0.4278377793962136,0.03247211175948905,0.2,0.9907474014908075,-0.005384292364124121,0.02242918312549591,120,0.0003,0.0655029296875,0.0050602145
