time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/iterations,train/clip_range,train/explained_variance,train/loss,train/approx_kl,train/clip_fraction,train/n_updates,train/learning_rate,train/policy_gradient_loss,train/entropy_loss,train/value_loss
49,147456,14.514,144.8,3005,72,0.2,0.7564334273338318,0.4774204194545746,0.0040527773,0.033837890625,710,0.0003,-0.000780716191366082,-0.11344291139394044,0.9478205566294491
49,149504,14.771999999999998,146.93,3005,73,0.2,0.8060960471630096,0.2880403995513916,0.0014029049,0.01982421875,720,0.0003,-0.002029801245589624,-0.09535161023959518,0.7781521063297987
50,151552,14.702999999999998,146.24,3005,74,0.2,0.7922783046960831,0.5001407265663147,0.0041104364,0.02626953125,730,0.0003,-0.0002764718134130817,-0.10884032073663548,0.7855156660079956
51,153600,14.92,147.87,3006,75,0.2,0.7439525127410889,0.3579961955547333,0.0043685446,0.029833984375,740,0.0003,0.0014000573799421545,-0.10107126634102315,0.9136871657334268
51,155648,15.245,150.49,3007,76,0.2,0.7421219944953918,0.4384719133377075,0.0030708076,0.03125,750,0.0003,-0.00048741133068688216,-0.08871862649684772,0.8434883570298553
52,157696,14.95,148.26,3007,77,0.2,0.7940109223127365,0.16295629739761353,0.004732685,0.028759765625,760,0.0003,-0.0005777753525762819,-0.0836985046742484,0.7024559526238591
53,159744,14.958000000000002,148.34,3008,78,0.2,0.672658383846283,0.2753167748451233,0.035295814,0.10478515625,770,0.0003,-0.0186675519333221,-0.15974258828209714,0.8722163837403059
53,161792,14.871000000000002,147.65,3008,79,0.2,0.8580718487501144,0.24057531356811523,0.005736584,0.054248046875,780,0.0003,0.0004969952125975397,-0.13893463278654963,0.4638382096774876
54,163840,14.235000000000003,142.55,3008,80,0.2,0.8582357615232468,0.2794395089149475,0.008445805,0.037646484375,790,0.0003,0.00016536398106836714,-0.11602143824566155,0.5938081921543926
55,165888,14.082000000000003,141.38,3009,81,0.2,0.8629430681467056,0.19681738317012787,0.0066311955,0.0484375,800,0.0003,-0.0010614611506753135,-0.12140803807415068,0.6036701614037157
55,167936,13.27,134.61,3010,82,0.2,0.8702130168676376,0.32422059774398804,0.007767134,0.041064453125,810,0.0003,8.410213267779909e-05,-0.12658634036779404,0.5614827073179185
56,169984,13.476,136.13,3010,83,0.2,0.9082669317722321,0.13806049525737762,0.0046528336,0.038818359375,820,0.0003,-0.002551832278550137,-0.10462345659034326,0.4088389615062624
57,172032,14.047,140.67,3011,84,0.2,0.8850155025720596,0.14028047025203705,0.0058683082,0.042236328125,830,0.0003,-0.0004670108712161891,-0.10595795758999885,0.4926404661964625
57,174080,13.8,138.65,3012,85,0.2,0.7380498647689819,0.34552302956581116,0.010669435,0.03818359375,840,0.0003,0.0012744042731355875,-0.12260642810724676,0.6781140801496803
58,176128,13.953,139.91,3012,86,0.2,0.7934900969266891,0.23684696853160858,0.0036387728,0.04296875,850,0.0003,-0.0017751772531482857,-0.10966580882668495,0.7475295015610754
59,178176,14.213,142.06,3013,87,0.2,0.8447888642549515,0.3974320888519287,0.0030841886,0.0296875,860,0.0003,0.0007415868771204259,-0.10506831423845142,0.6576222291681916
59,180224,14.481999999999998,144.21,3013,88,0.2,0.8321178108453751,0.5129482746124268,0.002137674,0.0275390625,870,0.0003,-0.0017956876421521884,-0.10112418412463739,0.7417674102820456
60,182272,14.822000000000001,147.07,3014,89,0.2,0.8356183469295502,0.26994138956069946,0.003280857,0.0353515625,880,0.0003,-0.0008404626431001816,-0.10449925357243046,0.6361687333323062
61,184320,14.886000000000001,147.8,3014,90,0.2,0.8714486509561539,0.2899368107318878,0.003036214,0.03359375,890,0.0003,0.000472224648547126,-0.08757357950089499,0.4945132619235665
61,186368,14.677,146.16,3015,91,0.2,0.8434703797101974,0.1650412678718567,0.005381779,0.031103515625,900,0.0003,-0.0007425341682392173,-0.09092817107448355,0.6432136825285852
62,188416,14.936,148.21,3016,92,0.2,0.8636390417814255,0.23610782623291016,0.012599787,0.037060546875,910,0.0003,-1.6282469005091116e-05,-0.11332144134212285,0.5478943433146923
63,190464,15.211999999999998,150.34,3016,93,0.2,0.8039213120937347,0.24251745641231537,0.004392523,0.0330078125,920,0.0003,-0.00026557684614090247,-0.09197869023773819,0.7735400509554893
63,192512,15.351999999999999,151.47,3016,94,0.2,0.877135768532753,0.29973962903022766,0.0016220103,0.030029296875,930,0.0003,0.0009844309424806852,-0.08071547829313204,0.46913292445242405
64,194560,15.459000000000001,152.45,3017,95,0.2,0.8600907027721405,0.2137010097503662,0.0038186407,0.035693359375,940,0.0003,-0.002724649834271986,-0.09354783260496333,0.6453810947481543
65,196608,15.577,153.45,3017,96,0.2,0.8924275115132332,0.15341271460056305,0.0039599575,0.030810546875,950,0.0003,-0.00012118726517655887,-0.08890739495691377,0.48776648137718437
65,198656,15.665,154.15,3017,97,0.2,0.829219713807106,0.3923189640045166,0.0013339112,0.022802734375,960,0.0003,-0.0008802869542705594,-0.07333083510166034,0.6594948631711304
66,200704,15.854,155.68,3018,98,0.2,0.8121645897626877,0.684720516204834,0.0031004269,0.02822265625,970,0.0003,-0.0012401838408550247,-0.09083067018073052,0.7937914568930864
