time/time_elapsed,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/total_timesteps,time/iterations,train/learning_rate,train/explained_variance,train/n_updates,train/value_loss,train/loss,train/approx_kl,train/entropy_loss,train/policy_gradient_loss,train/clip_fraction,train/clip_range
36,9.212,4912,102.94,180224,22,0.0009311872000000001,0.946649469435215,210,0.2385307836753782,0.12150490283966064,0.0053682174,-0.33683739815605807,-0.0016829906558996298,0.05933837890625,0.2
38,9.231,4897,103.04,188416,23,0.0009279104,0.9593849331140518,220,0.1722897102299612,0.08531291037797928,0.005260922,-0.2998295799829066,-0.00044012245471094504,0.05223388671875,0.2
40,9.292,4883,103.38,196608,24,0.0009246336,0.9677519872784615,230,0.13781943903886712,0.05802885442972183,0.005204292,-0.28593783364631237,-0.0019333824884597561,0.07113037109375,0.2
42,9.452,4873,104.35,204800,25,0.0009213568,0.9478553049266338,240,0.22918574273935519,0.10205681622028351,0.005631027,-0.28395166906993835,-0.002551595427939901,0.06512451171875,0.2
43,9.743,4868,106.54,212992,26,0.00091808,0.9385343864560127,250,0.25735827746102585,0.0766911581158638,0.008230822,-0.27000059934798626,-0.0026260228838509646,0.071533203125,0.2
45,10.112,4864,109.33,221184,27,0.0009148032,0.939215149730444,260,0.24980118997045792,0.13194268941879272,0.00587574,-0.23166641391580925,-0.0012649643276745337,0.0573486328125,0.2
47,10.425,4851,111.47,229376,28,0.0009115264,0.9084386900067329,270,0.34309108345769346,0.16649660468101501,0.006621332,-0.259377860033419,-0.0005290016679282417,0.05521240234375,0.2
49,10.503,4845,112.43,237568,29,0.0009082496,0.9073529541492462,280,0.33929081992246213,0.12565116584300995,0.004270116,-0.23658493041293696,-0.0004688462275225902,0.05069580078125,0.2
50,11.020999999999999,4844,116.53,245760,30,0.0009049728,0.9215090423822403,290,0.31207992608542556,0.21069256961345673,0.0038410178,-0.22217379590729253,-0.0010832435078555135,0.04951171875,0.2
52,11.285,4840,118.63,253952,31,0.0009016960000000001,0.9118014574050903,300,0.3387729503563605,0.1305573284626007,0.005463243,-0.2187921691860538,-0.0012587430041094195,0.05308837890625,0.2
54,11.825,4836,123.22,262144,32,0.0008984192,0.8965398594737053,310,0.4021349058835767,0.2170591503381729,0.0060290555,-0.21186777094844728,-0.0018248133717861492,0.0591552734375,0.2
55,12.168,4832,125.66,270336,33,0.0008951424000000001,0.887006551027298,320,0.44161321844439955,0.2502281665802002,0.0069943448,-0.21029541220050305,-0.0006328492603643099,0.0489501953125,0.2
57,13.127,4828,132.82,278528,34,0.0008918656,0.8538746684789658,330,0.4895355814136565,0.10921044647693634,0.006830263,-0.18021635824698023,-0.00027603748512774475,0.049951171875,0.2
59,13.429999999999998,4826,135.4,286720,35,0.0008885888,0.8802621513605118,340,0.3569965174770914,0.19106385111808777,0.0074588563,-0.16885921758366748,-0.00019688988231791882,0.05086669921875,0.2
61,13.683000000000002,4824,137.93,294912,36,0.000885312,0.8559617251157761,350,0.4116762840072624,0.2210821509361267,0.007650469,-0.1793291269103065,-0.0006618552703002934,0.0568603515625,0.2
62,14.137,4817,141.48,303104,37,0.0008820352,0.859491765499115,360,0.49642771887592974,0.15674905478954315,0.009786371,-0.17627561444533058,0.00029342088073462945,0.052001953125,0.2
64,13.973000000000003,4811,140.02,311296,38,0.0008787583999999999,0.9122701436281204,370,0.33803987106657585,0.11571021378040314,0.005444926,-0.1725055440911092,-0.001031330486148363,0.064208984375,0.2
66,15.08,4809,149.11,319488,39,0.0008754816,0.8877417221665382,380,0.4384495767648332,0.168283611536026,0.0057365764,-0.16755060751456768,-0.001331403977383161,0.05880126953125,0.2
68,15.565999999999999,4805,153.16,327680,40,0.0008722048000000001,0.8670741617679596,390,0.5557758338400163,0.10581087321043015,0.009622901,-0.14213759001577272,-0.0017686390285234666,0.06182861328125,0.2
69,15.143999999999998,4804,149.93,335872,41,0.000868928,0.8506354540586472,400,0.4853590633254498,0.19183160364627838,0.007342823,-0.16438675693352706,0.0005201864100854436,0.05882568359375,0.2
71,15.076999999999998,4799,149.62,344064,42,0.0008656512000000001,0.8992310091853142,410,0.42997600497328675,0.15714064240455627,0.004465593,-0.15754347793990747,0.0020889745217573365,0.04984130859375,0.2
73,15.939,4797,156.8,352256,43,0.0008623744,0.8568558543920517,420,0.5908405807218514,0.24022047221660614,0.008821239,-0.13176713122811634,-0.00021558131020356087,0.049755859375,0.2
75,16.243,4791,159.03,360448,44,0.0008590976000000001,0.8518789261579514,430,0.6185243438696488,0.3814167380332947,0.01190459,-0.1306203238782473,-0.0003135266272693116,0.04893798828125,0.2
76,16.63,4789,162.09,368640,45,0.0008558208,0.8428700119256973,440,0.7219348679878749,0.2639414370059967,0.006281914,-0.13496508193493356,0.0012376072601000486,0.0495849609375,0.2
78,16.616999999999997,4788,161.69,376832,46,0.000852544,0.8428450226783752,450,0.6557950442424044,0.22613346576690674,0.004775356,-0.13030107256781776,-0.00013454325890052132,0.04315185546875,0.2
80,16.267,4788,159.0,385024,47,0.0008492672,0.8650791347026825,460,0.5655190446297638,0.34362271428108215,0.0044595054,-0.1237810056481976,0.0024230082064605083,0.04281005859375,0.2
82,16.96,4787,165.03,393216,48,0.0008459904,0.9075806736946106,470,0.47282902513397856,0.15044339001178741,0.006553231,-0.12331222810025792,0.0011051112460336299,0.0461669921875,0.2
83,18.538999999999998,4787,177.58,401408,49,0.0008427136,0.8441183418035507,480,0.7356088715139777,0.29712772369384766,0.011856786,-0.12032180734095163,0.0011020832826034166,0.04908447265625,0.2
85,19.375,4786,184.14,409600,50,0.0008394368,0.7312021851539612,490,0.8493993996409699,0.5445564985275269,0.039248295,-0.1433283061312977,0.0002583777562904288,0.05556640625,0.2
87,19.75,4786,187.08,417792,51,0.0008361600000000001,0.7051533162593842,500,0.7245473556569777,0.2042275220155716,0.009217126,-0.15604549159179443,-0.0007992946681042668,0.0572021484375,0.2
89,19.230999999999998,4785,183.06,425984,52,0.0008328831999999999,0.7933369278907776,510,0.7365694925538264,0.33713480830192566,0.0100591015,-0.14518562559387646,0.00018409105377941158,0.0574462890625,0.2
90,19.887999999999998,4785,188.46,434176,53,0.0008296064,0.7498025894165039,520,0.9734434864949435,0.6208431720733643,0.0074041183,-0.14394590214651543,0.0008061426626227331,0.0478271484375,0.2
92,21.023000000000003,4785,197.65,442368,54,0.0008263296,0.7054143249988556,530,1.0209643975831568,0.3146665692329407,0.006816973,-0.14162071749742608,0.0007796018864610233,0.05364990234375,0.2
94,21.0,4785,197.24,450560,55,0.0008230528000000001,0.718466579914093,540,1.0198476924793796,0.4720812737941742,0.008380485,-0.14135664799250663,0.0030711432329553643,0.04713134765625,0.2
95,22.093000000000004,4785,206.1,458752,56,0.000819776,0.6869091093540192,550,1.1587268130853772,0.2636157274246216,0.0067995484,-0.1539824451028835,-0.00018942955994134537,0.04871826171875,0.2
97,22.701999999999998,4784,211.11,466944,57,0.0008164992,0.625989556312561,560,1.1369625788647681,0.42033901810646057,0.0060375566,-0.1360540671099443,0.0019151888540363871,0.03916015625,0.2
99,24.05,4784,221.98,475136,58,0.0008132224000000001,0.6320295035839081,570,1.2579298848519103,0.31186428666114807,0.006740199,-0.14590449246461504,0.000982926498818415,0.04742431640625,0.2
101,21.830000000000005,4783,203.83,483328,59,0.0008099456,0.6153993606567383,580,1.289370215893723,0.42746198177337646,0.008537245,-0.1303449355822522,0.0018799367542669642,0.043798828125,0.2
102,24.245000000000005,4783,223.03,491520,60,0.0008066688,0.5443870425224304,590,1.5693234965670855,0.6687353253364563,0.021063842,-0.14013358212541788,0.0003008485306054354,0.05186767578125,0.2
104,23.302,4783,215.49,499712,61,0.000803392,0.5287684798240662,600,1.4120608605910092,0.4589410424232483,0.006788833,-0.1283070998470066,0.0006570789737452287,0.04508056640625,0.2
106,25.25,4783,231.1,507904,62,0.0008001152000000001,0.5310603678226471,610,1.5372802884317935,0.5999749898910522,0.007906968,-0.1417813694512006,0.00027645553072943587,0.05150146484375,0.2
107,24.537,4782,225.05,516096,63,0.0007968383999999999,0.48323196172714233,620,1.6466871894430368,0.9668161869049072,0.009586381,-0.1356627066154033,0.0016249631607934134,0.04686279296875,0.2
109,24.410999999999998,4782,223.43,524288,64,0.0007935616,0.4825083017349243,630,1.5370025815209374,0.8722864389419556,0.007983454,-0.13958215959137305,-0.00039284584672714116,0.04854736328125,0.2
111,26.142,4782,237.68,532480,65,0.0007902848,0.5350852608680725,640,1.4527309354161844,0.4695896804332733,0.0056920853,-0.13837221522117032,0.0012838506416301243,0.0461181640625,0.2
113,28.506999999999998,4781,257.01,540672,66,0.0007870080000000001,0.5055806040763855,650,1.3224595678970217,0.792556881904602,0.009163553,-0.12920894926937762,-0.0002476022279552126,0.04755859375,0.2
114,31.362,4781,280.43,548864,67,0.0007837311999999999,0.48431408405303955,660,1.2701888988958672,0.5817741751670837,0.011989238,-0.1161571491335053,0.0020829933546337998,0.04483642578125,0.2
116,33.474000000000004,4779,297.68,557056,68,0.0007804544,0.47650110721588135,670,1.3858475621789694,0.6558547616004944,0.009585868,-0.13369129783823155,0.0005671666562193422,0.0522705078125,0.2
118,33.713,4779,299.53,565248,69,0.0007771776000000001,0.4333236813545227,680,1.5366567573742942,0.8337117433547974,0.0066779596,-0.13501963946328033,0.0014492352140223375,0.05318603515625,0.2
119,35.40899999999999,4778,313.07,573440,70,0.0007739008000000001,0.5011493861675262,690,1.3513383164652624,0.6530516147613525,0.007527928,-0.11469005162362009,0.0032445112681671164,0.04427490234375,0.2
121,38.087,4778,334.54,581632,71,0.000770624,0.4986709952354431,700,1.4926185397431255,0.76871657371521,0.0060187466,-0.12467675305088051,0.00254578559397487,0.04320068359375,0.2
123,42.172,4777,367.47,589824,72,0.0007673472,0.44314903020858765,710,1.031876768078655,0.2557494640350342,0.0047449293,-0.10036105887847953,0.0027952552944952914,0.039794921875,0.2
125,46.205,4777,400.15,598016,73,0.0007640704000000001,0.4291142225265503,720,1.2878680943045766,0.6130475401878357,0.006433675,-0.11015461639908608,0.0017271821197027749,0.0477783203125,0.2
126,48.298,4776,417.21,606208,74,0.0007607935999999999,0.4217602610588074,730,1.1734595158486627,0.9194867610931396,0.0076953885,-0.10895438038569409,0.002557714803333511,0.043896484375,0.2
128,49.341,4776,425.66,614400,75,0.0007575168,0.5925939679145813,740,1.32744895669166,0.8911712765693665,0.0060993494,-0.11112698097713292,0.00336240774468024,0.04248046875,0.2
130,48.083,4776,415.69,622592,76,0.00075424,0.5431084930896759,750,1.257238856004551,0.42988333106040955,0.009154554,-0.1024669683771208,0.0029852786370611283,0.04755859375,0.2
132,44.88399999999999,4775,390.0,630784,77,0.0007509632,0.5083284974098206,760,1.6665656470693648,0.4688246548175812,0.0066527333,-0.1165042807435384,0.0007605003993376158,0.0510009765625,0.2
133,39.62500000000001,4775,347.04,638976,78,0.0007476864,0.4501758813858032,770,1.5392797203501687,1.1830447912216187,0.004831747,-0.10268597134272568,0.007311739386022964,0.049755859375,0.2
