rollout/ep_rew_mean,time/fps,time/total_timesteps,time/iterations,rollout/ep_len_mean,time/time_elapsed,train/entropy_loss,train/value_loss,train/approx_kl,train/explained_variance,train/clip_range,train/clip_fraction,train/learning_rate,train/loss,train/policy_gradient_loss,train/n_updates
9.069,5031,122880,15,101.15,24,-0.3638312241295353,0.11781881391216302,0.0072425352,0.9681418538093567,0.2,0.0701416015625,0.003,0.05135521665215492,-1.4049006040295353e-05,140
9.384,5010,131072,16,103.76,26,-0.29019395939540116,0.19185525144275745,0.012236313,0.9447110444307327,0.2,0.08135986328125,0.003,0.07754041999578476,-0.006578779413757729,150
9.812000000000001,4995,139264,17,107.14,27,-0.21415166963706725,0.2316888457047753,0.0073382542,0.9406433701515198,0.2,0.05313720703125,0.003,0.11839552223682404,-0.00040757529459369837,160
10.234,4979,147456,18,110.46,29,-0.21516456106328405,0.2947741529031191,0.005906987,0.9152646958827972,0.2,0.05225830078125,0.003,0.08271657675504684,-0.001224383841326926,170
10.7,4965,155648,19,114.22,31,-0.1960780094959773,0.29586129309027454,0.0074570077,0.9146838486194611,0.2,0.047998046875,0.003,0.1627744436264038,-0.0008039064225158655,180
11.316,4947,163840,20,118.94,33,-0.18145269291708246,0.36881093992851677,0.011963863,0.8882351145148277,0.2,0.05816650390625,0.003,0.28239706158638,-0.002050245553982677,190
12.522999999999998,4933,172032,21,128.49,34,-0.16164007436018438,0.40867947245715186,0.011550972,0.8683873414993286,0.2,0.05972900390625,0.003,0.1655154824256897,-0.0058973838135443655,200
13.905,4925,180224,22,139.61,36,-0.12088019351940602,0.40437803611857814,0.016540915,0.8405593484640121,0.2,0.05916748046875,0.003,0.20999862253665924,-0.00023710109326202655,210
12.968,4917,188416,23,132.49,38,-0.10715888885606546,0.36616411852883174,0.008821327,0.8680311590433121,0.2,0.05517578125,0.003,0.1803523749113083,0.001986817265606078,220
12.427999999999999,4911,196608,24,128.44,40,-0.14934372461284512,0.5166761594940908,0.020932753,0.8358753472566605,0.2,0.07266845703125,0.003,0.20062899589538574,-0.0009608950407709926,230
13.415,4905,204800,25,136.24,41,-0.24703475603600963,0.5809541056281887,0.042595483,0.8099739253520966,0.2,0.18507080078125,0.003,0.3167595863342285,-0.012237918378377798,240
13.53,4898,212992,26,137.12,43,-0.15174988843500614,0.41157724597724155,0.018868133,0.8586248010396957,0.2,0.0681640625,0.003,0.1670563817024231,0.004758817901529255,250
13.411,4893,221184,27,135.93,45,-0.11043942319665803,0.4810559590347111,0.016187329,0.8500349223613739,0.2,0.0513916015625,0.003,0.22257469594478607,-0.001301298438283993,260
14.019,4888,229376,28,140.75,46,-0.10499648480181349,0.37429814285133034,0.012232811,0.885458841919899,0.2,0.0572265625,0.003,0.32695090770721436,0.005433280729994295,270
14.914000000000001,4882,237568,29,148.17,48,-0.097475327225402,0.29539412971935236,0.023582932,0.9115328714251518,0.2,0.0636474609375,0.003,0.10423815995454788,0.005996779495217197,280
10.697000000000001,4877,245760,30,114.46,50,-0.19362925309396814,0.41031445501139385,0.080131084,0.8605564832687378,0.2,0.1010986328125,0.003,0.13907521963119507,-0.0003028540824743686,290
10.697000000000001,4874,253952,31,114.55,52,-0.2110974974639248,0.3056407310941722,0.024165343,0.8054603785276413,0.2,0.08988037109375,0.003,0.21824178099632263,0.007629980732781405,300
12.046000000000001,4869,262144,32,125.16,53,-0.21704791076481342,0.5638354967464693,0.025650695,0.8545858711004257,0.2,0.059765625,0.003,0.3272739350795746,-0.0034147431786550443,310
12.97,4864,270336,33,132.6,55,-0.20132692717015743,0.5158423715736717,0.015512764,0.8414829224348068,0.2,0.06468505859375,0.003,0.2067708522081375,-0.0002738358380156569,320
13.344000000000003,4857,278528,34,135.08,57,-0.2756170677370392,0.5708512253127992,0.045994792,0.8063730299472809,0.2,0.109228515625,0.003,0.14512869715690613,0.023935413210710976,330
14.335,4852,286720,35,143.28,59,-0.19281859725015238,0.5268228329718113,0.022033041,0.7579450607299805,0.2,0.06468505859375,0.003,0.2493162751197815,0.008793277213771943,340
16.565,4845,294912,36,161.71,60,-0.18232440193532967,0.47519257298554296,0.014470559,0.7975117564201355,0.2,0.05697021484375,0.003,0.16515015065670013,0.0013463948349453857,350
17.544999999999998,4841,303104,37,169.35,62,-0.2313183229707647,0.6539496698766015,0.035961367,0.6889598071575165,0.2,0.0945068359375,0.003,0.2809726595878601,0.0035974576843727847,360
17.575,4831,311296,38,169.56,64,-0.15366055486374536,0.862960017460864,0.017506398,0.5959272384643555,0.2,0.0656494140625,0.003,0.36353355646133423,0.001681947948600282,370
20.204,4825,319488,39,190.9,66,-0.14619632608955727,0.7616851504193619,0.014187755,0.6601418852806091,0.2,0.051611328125,0.003,0.3671669363975525,0.002989013894693926,380
21.659000000000002,4816,327680,40,202.75,68,-0.1302147930924548,0.7951186790829524,0.0102789495,0.586037665605545,0.2,0.05531005859375,0.003,0.2831559479236603,0.00455850443104282,390
20.118,4813,335872,41,190.22,69,-0.17655092604691164,0.9969789090449922,0.01812554,0.49104392528533936,0.2,0.0832763671875,0.003,0.23686224222183228,-0.003058976922329748,400
20.273000000000003,4810,344064,42,191.59,71,-0.1329865356819937,1.009041052684188,0.019953102,0.5728382468223572,0.2,0.0736328125,0.003,0.6138826608657837,0.009900521479903546,410
21.690999999999995,4807,352256,43,202.71,73,-0.11070114359317813,1.0722197910072282,0.0442853,0.6187426745891571,0.2,0.0698486328125,0.003,0.6310272812843323,0.006923722215378803,420
22.960000000000004,4804,360448,44,213.15,75,-0.14262522821518359,0.6177953061996959,0.054881897,0.7271738648414612,0.2,0.0991455078125,0.003,0.14645503461360931,0.01381617521001317,430
20.113000000000003,4803,368640,45,190.35,76,-0.14528573802672326,0.9515005837078206,0.017137347,0.6581539511680603,0.2,0.08818359375,0.003,0.24891850352287292,0.006155787520583544,440
15.292,4802,376832,46,151.5,78,-0.14504668878216762,1.1471432152669876,0.05325225,0.656734824180603,0.2,0.08248291015625,0.003,0.6220690608024597,0.008633960983024736,450
15.806,4801,385024,47,155.29,80,-0.18188332931604237,1.2380257456796244,0.037981227,0.6218418776988983,0.2,0.0914306640625,0.003,0.48791995644569397,-0.0002861697518710571,460
15.347999999999999,4800,393216,48,151.34,81,-0.13798577823326924,1.3969272614922374,0.06292382,0.4826622009277344,0.2,0.0889404296875,0.003,1.0635088682174683,0.011286627662593673,470
13.546,4799,401408,49,136.92,83,-0.1450181496416917,1.0079864252591506,0.03305754,0.5632818639278412,0.2,0.10821533203125,0.003,0.7595775127410889,0.008307152749330271,480
13.166999999999998,4799,409600,50,133.76,85,-0.15574910289724359,0.8922303291852586,0.030079905,0.6210357844829559,0.2,0.09896240234375,0.003,0.5049687027931213,0.00018271014596393798,490
13.957,4798,417792,51,140.31,87,-0.1479516278981464,0.7475199067266658,0.028923228,0.7413218319416046,0.2,0.07708740234375,0.003,0.2020132690668106,0.0039629975550269595,500
15.554999999999998,4796,425984,52,153.32,88,-0.18966630334034562,0.864233773003798,0.017621195,0.7358914017677307,0.2,0.07708740234375,0.003,0.4597089886665344,0.003980370549834333,510
17.174,4795,434176,53,166.27,90,-0.15204588390770368,0.8263597308658064,0.042888902,0.6431721448898315,0.2,0.0880126953125,0.003,0.35589897632598877,0.004948791104106931,520
20.135,4795,442368,54,190.03,92,-0.15288981733319815,0.8754153723130003,0.035252906,0.6702256202697754,0.2,0.070703125,0.003,0.3597727417945862,-0.0007941935283270141,530
22.541000000000004,4794,450560,55,209.41,93,-0.12100664509925992,0.7515768511337229,0.026086438,0.4933384656906128,0.2,0.072509765625,0.003,0.4577794671058655,0.006590445033361902,540
