time/fps,time/total_timesteps,time/iterations,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,train/n_updates,train/policy_gradient_loss,train/clip_fraction,train/approx_kl,train/loss,train/value_loss,train/entropy_loss,train/clip_range,train/explained_variance,train/learning_rate
182,2048,1,11,101.0,9.0,,,,,,,,,,
36,4096,2,113,101.0,9.0,10,-0.005305330413102638,0.030078125,0.012283372,0.0003352819476276636,1.3557042605883907,-0.6849272524937987,0.2,-0.01914525032043457,0.0003
28,6144,3,213,101.0,9.0,20,-0.009461663789988962,0.051904296875,0.008017765,0.002449417719617486,0.030540347895293963,-0.6852977490052581,0.2,0.7678822427988052,0.0003
26,8192,4,313,101.0,9.0,30,-0.012471838350757025,0.09326171875,0.009773459,-0.00949961319565773,0.017154285759170308,-0.6798350727185607,0.2,0.9241843745112419,0.0003
24,10240,5,416,101.0,9.0,40,-0.010050325799966231,0.11630859375,0.011526545,-0.025270268321037292,0.020139645035669673,-0.6509503925219178,0.2,0.9722312223166227,0.0003
23,12288,6,516,101.0,9.0,50,-0.015049886060296558,0.1587890625,0.01723685,-0.03809818625450134,0.019838412934041115,-0.6180662732571364,0.2,0.9897589050233364,0.0003
23,14336,7,616,101.0,9.0,60,-0.016064454505976756,0.13701171875,0.015298619,0.004180088639259338,0.04477401382755488,-0.5764937562867999,0.2,0.9860327951610088,0.0003
22,16384,8,718,101.0,9.0,70,-0.014581016433658079,0.116455078125,0.014895253,0.004795602522790432,0.045658251250279135,-0.5453970632515848,0.2,0.9884289084002376,0.0003
22,18432,9,819,101.0,9.0,80,-0.007179581848322414,0.09482421875,0.0110976165,0.013931220397353172,0.11489893816178665,-0.4543326571583748,0.2,0.969018479809165,0.0003
22,20480,10,921,101.0,9.0,90,-0.01010975331082591,0.125390625,0.013562046,0.015405688434839249,0.1087440013536252,-0.48884475864470006,0.2,0.9713706914335489,0.0003
21,22528,11,1024,101.0,9.0,100,-0.01648232485895278,0.13564453125,0.017483499,-0.0024096816778182983,0.04699303901579697,-0.5278797321952879,0.2,0.9816240947693586,0.0003
11,24576,12,2226,101.0,9.0,110,-0.016496721378643997,0.113720703125,0.011846835,-0.0009197928011417389,0.08690241880249232,-0.5325189062394202,0.2,0.9751839395612478,0.0003
11,26624,13,2329,101.0,9.0,120,-0.014245151247450849,0.14267578125,0.018099274,-0.010603329166769981,0.040998929613851945,-0.5387721386738121,0.2,0.9882514290511608,0.0003
8,28672,14,3328,101.0,9.0,130,-0.02344543378567323,0.184033203125,0.02180282,-0.008745703846216202,0.05787097511347383,-0.5073369462043047,0.2,0.9839301593601704,0.0003
8,30720,15,3428,101.0,9.0,140,-0.017420632892753928,0.15654296875,0.0142286895,-0.010999735444784164,0.0448754342738539,-0.5192016864195466,0.2,0.9868088075891137,0.0003
9,32768,16,3528,101.0,9.0,150,-0.025119064436876216,0.203857421875,0.022562835,0.0055970679968595505,0.04622730373812374,-0.5145760872401297,0.2,0.9872477613389492,0.0003
7,34816,17,4527,101.0,9.0,160,-0.018495885917218402,0.173583984375,0.023560748,-0.003225516527891159,0.08237362183863298,-0.4504607912153006,0.2,0.9744434878230095,0.0003
7,36864,18,4627,101.0,9.0,170,-0.019726041094691026,0.171435546875,0.0192744,-0.008404456079006195,0.06816196768195368,-0.48113726917654276,0.2,0.9794022031128407,0.0003
8,38912,19,4728,101.0,9.0,180,-0.01744424330536276,0.180224609375,0.018473675,-0.027534596621990204,0.03250826901348773,-0.5134151985868811,0.2,0.9873287957161665,0.0003
8,40960,20,4828,101.0,9.0,190,-0.021596128444798524,0.2080078125,0.021513777,0.004966616630554199,0.02968596946739126,-0.5042265326716006,0.2,0.989287075586617,0.0003
8,43008,21,4930,101.0,9.0,200,-0.020111806070781314,0.170703125,0.020201767,0.007460199296474457,0.049165719782467934,-0.47438550684601066,0.2,0.9824086595326662,0.0003
8,45056,22,5031,101.0,9.0,210,-0.020431195430865044,0.1763671875,0.02236433,-0.03018461912870407,0.04370349279779475,-0.4829667274840176,0.2,0.9854136975482106,0.0003
9,47104,23,5137,101.0,9.0,220,-0.02445221161178779,0.1794921875,0.04987838,-0.02525153011083603,0.06321759321144782,-0.4397672445513308,0.2,0.979558639228344,0.0003
9,49152,24,5249,101.0,9.0,230,-0.01935108154430054,0.17392578125,0.028536031,-0.016677184030413628,0.051801212457939984,-0.4435330920852721,0.2,0.9809880554676056,0.0003
9,51200,25,5360,101.0,9.0,240,-0.024702530119975565,0.193505859375,0.027199253,-0.01369095966219902,0.029259666375583037,-0.48987657222896813,0.2,0.9879137184470892,0.0003
9,53248,26,5469,101.0,9.0,250,-0.01642787737218896,0.186865234375,0.023799747,-0.012339865788817406,0.02668300612422172,-0.5045552747324109,0.2,0.991171888075769,0.0003
9,55296,27,5580,101.0,9.0,260,-0.02015512407087954,0.2107421875,0.025578678,-0.011118963360786438,0.024361680324363987,-0.5031057680025697,0.2,0.9923084280453622,0.0003
10,57344,28,5691,101.0,9.0,270,-0.02220310131306178,0.2017578125,0.026939698,-0.019232498481869698,0.021547809462936128,-0.49924443205818536,0.2,0.9939467287622392,0.0003
10,59392,29,5803,101.0,9.0,280,-0.024768667481839656,0.20576171875,0.028789075,-0.015181072987616062,0.01833819292805856,-0.5083200651220977,0.2,0.9938802402466536,0.0003
10,61440,30,5916,101.0,9.0,290,-0.02499964057496982,0.203466796875,0.027664516,-0.03895251452922821,0.02742199849599274,-0.4865028309635818,0.2,0.992013449780643,0.0003
10,63488,31,6030,101.0,9.0,300,-0.026034851743315813,0.210302734375,0.035708714,-0.03744827210903168,0.029227236175211148,-0.4840912465006113,0.2,0.9899147190153599,0.0003
10,65536,32,6144,101.0,9.0,310,-0.029127092550334056,0.1919921875,0.036214992,-0.019627060741186142,0.027126220503123476,-0.4720744133926928,0.2,0.991834663785994,0.0003
10,67584,33,6260,101.0,9.0,320,-0.025986210070550443,0.202587890625,0.031209651,-0.025475863367319107,0.025318388697633053,-0.42659337548539045,0.2,0.9903116654604673,0.0003
10,69632,34,6383,101.0,9.0,330,-0.0331071893000626,0.244140625,0.037089027,-0.04383502155542374,0.014456927592982538,-0.4178875827230513,0.2,0.9935467564500868,0.0003
11,71680,35,6500,101.0,9.0,340,-0.03140762827388244,0.217724609375,0.035294246,-0.0507596954703331,0.02909747990197502,-0.454444982111454,0.2,0.9882415737956762,0.0003
11,73728,36,6628,101.0,9.0,350,-0.033527913426223674,0.2275390625,0.029378373,-0.07985138893127441,0.01696320364571875,-0.4900434943847358,0.2,0.9910100074484944,0.0003
11,75776,37,6754,101.0,9.0,360,-0.026382157247280703,0.278125,0.035862006,-0.04135354980826378,0.014421333456994034,-0.5157280640676618,0.2,0.995515710208565,0.0003
11,77824,38,6879,101.0,9.0,370,-0.025310934369917958,0.257568359375,0.035540324,-0.0431440994143486,0.015539594796427992,-0.5218100717291236,0.2,0.9958146917633712,0.0003
11,79872,39,7007,101.0,9.0,380,-0.02548860868118936,0.267138671875,0.03620576,-0.01579645462334156,0.013558996130450396,-0.5030883071012795,0.2,0.9967284901067615,0.0003
11,81920,40,7135,101.0,9.0,390,-0.02887427015521098,0.2755859375,0.041773103,-0.04481034725904465,0.014331803047389258,-0.4888648185878992,0.2,0.995946538168937,0.0003
11,83968,41,7262,101.0,9.0,400,-0.030998491306672805,0.25205078125,0.041063555,-0.027204468846321106,0.03246117619273718,-0.44710876923054454,0.2,0.9844022775068879,0.0003
11,86016,42,7389,101.0,9.0,410,-0.04043154075334314,0.273974609375,0.054460473,-0.0543399378657341,0.034104993095388635,-0.4215274925343692,0.2,0.9870851263403893,0.0003
11,88064,43,7518,101.0,9.0,420,-0.04382701486320002,0.261181640625,0.050787028,-0.06476950645446777,0.03953952634765301,-0.3613547204993665,0.2,0.9774350710213184,0.0003
11,90112,44,7649,101.0,9.0,430,-0.044014199113007635,0.261572265625,0.051309347,-0.051214639097452164,0.04262735473748762,-0.3923375696875155,0.2,0.9826328475028276,0.0003
11,92160,45,7777,101.0,9.0,440,-0.0337796183739556,0.28505859375,0.05493019,-0.04112621396780014,0.03823730538133532,-0.44846024429425596,0.2,0.9735894110053778,0.0003
11,94208,46,7905,101.0,9.0,450,-0.03584868638718035,0.306396484375,0.04793307,-0.04545336589217186,0.022132624426740223,-0.474210343696177,0.2,0.9866408435627818,0.0003
11,96256,47,8033,101.0,9.0,460,-0.04136135567241581,0.348388671875,0.047171563,-0.038121260702610016,0.013033707134309225,-0.4918764729052782,0.2,0.995167528744787,0.0003
12,98304,48,8163,101.0,9.0,470,-0.027223186907940546,0.296044921875,0.05944629,-0.022681940346956253,0.01207900144290761,-0.4739346391521394,0.2,0.9966716882772744,0.0003
10,100352,49,9176,101.0,9.0,480,-0.02872714593904675,0.247314453125,0.03734425,-0.03945384919643402,0.023698460741434245,-0.469199753459543,0.2,0.9920284021645784,0.0003
11,102400,50,9276,101.0,9.0,490,-0.0437541257153498,0.312158203125,0.050578713,-0.06048697978258133,0.025447999936295672,-0.45358093790709975,0.2,0.9917700383812189,0.0003
11,104448,51,9376,101.0,9.0,500,-0.049249057774432003,0.307421875,0.06979414,-0.06342426687479019,0.01501264289545361,-0.399140939489007,0.2,0.9927911018021405,0.0003
10,106496,52,10527,101.0,9.0,510,-0.05838861229422036,0.294287109375,0.081874885,-0.0834600105881691,0.023318508653028404,-0.34227663599886,0.2,0.9836810063570738,0.0003
10,108544,53,10628,101.0,9.0,520,-0.05658339418878313,0.28544921875,0.08921465,-0.05669654905796051,0.028295582669670694,-0.32353479065932333,0.2,0.9850964592769742,0.0003
10,110592,54,10728,101.0,9.0,530,-0.049477903349907135,0.29931640625,0.07522267,0.04639967903494835,0.03348810496972874,-0.37505340594798325,0.2,0.9782929942011833,0.0003
10,112640,55,10829,101.0,9.0,540,-0.057324066197907086,0.424462890625,0.1044742,-0.0825745016336441,0.01892360802885378,-0.4577058187685907,0.2,0.9768700115382671,0.0003
9,114688,56,11898,101.0,9.0,550,-0.05135458915465278,0.401318359375,0.07742551,-0.046314649283885956,0.017396435760019813,-0.4782049760222435,0.2,0.9885415602475405,0.0003
9,116736,57,11998,101.0,9.0,560,-0.03783960855653277,0.2935546875,0.057161063,-0.04892324283719063,0.02730816766852513,-0.46629554135724904,0.2,0.9873010143637657,0.0003
9,118784,58,12100,101.0,9.0,570,-0.03832768015854526,0.272705078125,0.068694666,-0.040459103882312775,0.02314175002684351,-0.42485393388196824,0.2,0.9894455540925264,0.0003
9,120832,59,12202,101.0,9.0,580,-0.03877961581601994,0.31630859375,0.0900287,-0.03600963577628136,0.019567313366860618,-0.44010162400081754,0.2,0.9906982993707061,0.0003
9,122880,60,12852,101.0,9.0,590,-0.02548138402053155,0.30126953125,0.057474744,-0.030868668109178543,0.01572370819194475,-0.45260473918169736,0.2,0.9939547441899776,0.0003
9,124928,61,13170,101.0,9.0,600,-0.02212576959573198,0.31748046875,0.052089006,-0.025879427790641785,0.015384005270607303,-0.4828165391460061,0.2,0.994571499992162,0.0003
9,126976,62,13271,101.0,9.0,610,-0.03722281169175403,0.327587890625,0.049576767,-0.05270114913582802,0.013191057503718184,-0.49772094301879405,0.2,0.995830166619271,0.0003
9,129024,63,13371,101.0,9.0,620,-0.03238036988623207,0.321142578125,0.05018639,-0.033603932708501816,0.013460925253457389,-0.4918140425346792,0.2,0.9963091488461941,0.0003
9,131072,64,13643,101.0,9.0,630,-0.028636645602819043,0.31357421875,0.057728257,-0.04150517284870148,0.011868271431012545,-0.5010991618037224,0.2,0.9966970989480615,0.0003
9,133120,65,13744,101.0,9.0,640,-0.038105786791129505,0.32216796875,0.054251157,-0.0354914553463459,0.014917429315391927,-0.48228719616308807,0.2,0.9952107779681683,0.0003
9,135168,66,13845,101.0,9.0,650,-0.04687340693490114,0.340966796875,0.08848278,-0.06688513606786728,0.02174026516149752,-0.4298093104735017,0.2,0.9893782315775752,0.0003
9,137216,67,13988,101.0,9.0,660,-0.0457823189382907,0.3001953125,0.089450076,-0.05330773442983627,0.037563647420029156,-0.38822445096448066,0.2,0.9766143951565027,0.0003
9,139264,68,14160,101.0,9.0,670,-0.0576666621491313,0.323828125,0.089637436,-0.07421502470970154,0.026335291455325205,-0.3423941229004413,0.2,0.9807560387998819,0.0003
9,141312,69,15283,101.0,9.0,680,-0.057447920701815744,0.32841796875,0.12616605,-0.06636285036802292,0.021163782849907876,-0.3107963223475963,0.2,0.9876601258292794,0.0003
8,143360,70,16363,101.0,9.0,690,-0.04706931746404734,0.291259765625,0.09032187,-0.059546396136283875,0.035989320967928506,-0.3370045752730221,0.2,0.979051249101758,0.0003
8,145408,71,16464,101.0,9.0,700,-0.05127287598879775,0.403369140625,0.08254859,-0.06737925857305527,0.019099193545116577,-0.45926808947697284,0.2,0.9765293356031179,0.0003
8,147456,72,16565,101.0,9.0,710,-0.05844213248929009,0.4220703125,0.072610475,-0.04965108260512352,0.016350451579637593,-0.49824146181344986,0.2,0.9868458621203899,0.0003
8,149504,73,16665,101.0,9.0,720,-0.03624745531124063,0.3369140625,0.056869395,-0.00908412504941225,0.012650444214523304,-0.48510736534371973,0.2,0.9954312173649669,0.0003
9,151552,74,16766,101.0,9.0,730,-0.039892902690917255,0.328759765625,0.06558902,-0.023646624758839607,0.010968597706960282,-0.4617969335056841,0.2,0.9968952569179237,0.0003
9,153600,75,16866,101.0,9.0,740,-0.02982064138050191,0.28720703125,0.060477875,-0.04325557500123978,0.01570140527765034,-0.4522125898860395,0.2,0.994978298433125,0.0003
8,155648,76,17896,101.0,9.0,750,-0.03556945874734083,0.29716796875,0.08079722,-0.05986783653497696,0.019764725760614964,-0.4209526965394616,0.2,0.990645619109273,0.0003
8,157696,77,17996,101.0,9.0,760,-0.037642330020753435,0.3134765625,0.08467485,-0.04829928278923035,0.030870798474643378,-0.4150912364013493,0.2,0.9888229137286544,0.0003
